 ,Area,Mean,Min,Max,Ch,Frame
628,1068.017,43.113,7,103,2,63
629,1068.017,43.645,7,141,2,63
630,2248.080,41.150,3,157,2,63
631,1068.017,8.765,0,43,1,64
632,1068.017,9.844,0,58,1,64
633,1068.017,9.000,0,43,1,64
634,1068.017,9.538,0,44,1,64
635,2248.080,6.036,0,35,1,64
636,1068.017,40.783,7,112,2,64
637,1068.017,43.536,7,115,2,64
638,1068.017,43.408,3,104,2,64
639,1068.017,43.555,7,153,2,64
640,2248.080,41.089,3,114,2,64
641,1068.017,9.170,0,64,1,65
642,1068.017,9.966,0,55,1,65
643,1068.017,8.913,0,51,1,65
644,1068.017,9.256,0,46,1,65
645,2248.080,5.998,0,37,1,65
646,1068.017,41.023,3,103,2,65
647,1068.017,43.923,0,107,2,65
648,1068.017,43.268,7,111,2,65
649,1068.017,43.704,8,163,2,65
650,2248.080,41.285,3,193,2,65
651,1068.017,9.308,0,62,1,66
652,1068.017,9.894,0,54,1,66
653,1068.017,8.987,0,47,1,66
654,1068.017,9.242,0,46,1,66
655,2248.080,6.100,0,39,1,66
656,1068.017,41.019,7,99,2,66
657,1068.017,44.169,7,114,2,66
658,1068.017,43.240,3,107,2,66
659,1068.017,43.927,3,137,2,66
660,2248.080,41.220,3,128,2,66
661,1068.017,9.181,0,47,1,67
662,1068.017,9.552,0,56,1,67
663,1068.017,8.998,0,42,1,67
664,1068.017,9.068,0,43,1,67
665,2248.080,6.111,0,34,1,67
666,1068.017,40.946,7,131,2,67
667,1068.017,43.372,7,112,2,67
668,1068.017,43.481,7,172,2,67
669,1068.017,43.501,7,158,2,67
670,2248.080,41.351,3,127,2,67
671,1068.017,9.117,0,55,1,68
672,1068.017,9.283,0,51,1,68
673,1068.017,9.161,0,43,1,68
674,1068.017,9.158,0,54,1,68
675,2248.080,5.994,0,35,1,68
676,1068.017,41.413,7,100,2,68
677,1068.017,43.781,7,118,2,68
678,1068.017,43.265,11,104,2,68
679,1068.017,43.701,7,127,2,68
680,2248.080,41.295,3,115,2,68
681,1068.017,8.967,0,39,1,69
682,1068.017,8.876,0,35,1,69
683,1068.017,9.343,0,47,1,69
684,1068.017,9.291,0,39,1,69
685,2248.080,6.034,0,38,1,69
686,1068.017,40.679,7,160,2,69
687,1068.017,43.570,7,153,2,69
688,1068.017,43.755,3,102,2,69
689,1068.017,43.844,7,131,2,69
690,2248.080,41.251,3,131,2,69
691,1068.017,8.831,0,51,1,70
692,1068.017,8.924,0,41,1,70
693,1068.017,9.087,0,65,1,70
694,1068.017,9.058,0,70,1,70
695,2248.080,6.100,0,35,1,70
696,1068.017,40.729,7,141,2,70
697,1068.017,43.583,7,119,2,70
698,1068.017,43.616,3,107,2,70
699,1068.017,44.010,7,156,2,70
700,2248.080,41.257,3,193,2,70
701,1068.017,8.868,0,44,1,71
702,1068.017,9.007,0,43,1,71
703,1068.017,8.846,0,46,1,71
704,1068.017,9.403,0,40,1,71
705,2248.080,6.163,0,44,1,71
706,1068.017,40.673,7,101,2,71
707,1068.017,43.149,8,111,2,71
708,1068.017,43.654,7,122,2,71
709,1068.017,43.792,7,178,2,71
710,2248.080,41.066,0,174,2,71
711,1068.017,9.190,0,46,1,72
712,1068.017,8.860,0,46,1,72
713,1068.017,9.130,0,47,1,72
714,1068.017,10.344,0,58,1,72
715,2248.080,6.118,0,36,1,72
716,1068.017,40.936,11,99,2,72
717,1068.017,43.318,7,142,2,72
718,1068.017,43.535,3,107,2,72
719,1068.017,43.602,3,153,2,72
720,2248.080,41.054,0,118,2,72
721,1068.017,9.175,0,39,1,73
722,1068.017,8.979,0,47,1,73
723,1068.017,9.016,0,46,1,73
724,1068.017,10.274,0,71,1,73
725,2248.080,6.103,0,47,1,73
726,1068.017,41.022,7,104,2,73
727,1068.017,43.618,7,146,2,73
728,1068.017,43.377,7,111,2,73
729,1068.017,43.816,7,123,2,73
