"Sample","Time","ROI_Name","Mean_Calcium","Mean_Background","Ratio","File_Name"
"cngc3",27,"Airpore Old 1",7.207,67.209,0.107232662,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",27,"Airpore Old 2",8.302,61.421,0.135165497,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",27,"Airpore Old 3",9.393,46.266,0.203021657,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",27,"Airpore Medium 1",5.456,37.113,0.147010482,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",27,"Airpore Medium 2",9.509,63.145,0.150589912,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",30,"background",8.656,54.061,0.160115425,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",30,"Airpore Old 1",7.294,66.283,0.110043299,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",30,"Airpore Old 2",8.333,61.1,0.136382979,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",30,"Airpore Old 3",9.438,46.957,0.200992397,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",30,"Airpore Medium 1",5.71,37.253,0.153276246,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",30,"Airpore Medium 2",9.597,63.271,0.151680865,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",33,"background",8.571,53.548,0.160062,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",33,"Airpore Old 1",7.223,65.472,0.11032197,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
